brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
18072.0,for_sale,1100000.0,3.0,3.0,0.05,1314826.0,Woodside,New York,11377.0,2051.0,2016-04-26
15660.0,for_sale,575000.0,3.0,1.0,0.06,860713.0,Bronx,New York,10467.0,1524.0,2006-09-29
15874.0,for_sale,969000.0,9.0,6.0,0.04,974591.0,Bronx,New York,10451.0,3030.0,2011-04-28
106752.0,for_sale,1250000.0,5.0,5.0,0.18,987703.0,Rutherford,New Jersey,7070.0,6500.0,2021-04-06
23592.0,for_sale,6499000.0,3.0,3.0,0.06,58015.0,New York City,New York,10012.0,2692.0,2002-10-22
37944.0,for_sale,950000.0,4.0,2.0,0.05,919404.0,Brooklyn,New York,11213.0,1452.0,1985-04-30
79880.0,for_sale,630000.0,3.0,3.0,0.11,8484.0,Totowa,New Jersey,7512.0,2190.0,2018-12-03
51571.0,for_sale,899000.0,4.0,5.0,1.03,1531766.0,Wayne,New Jersey,7470.0,4693.0,2021-08-16
67144.0,for_sale,475000.0,3.0,3.0,0.13,470376.0,Teaneck,New Jersey,7666.0,1339.0,2006-07-28
67316.0,for_sale,937500.0,4.0,3.0,0.06,83447.0,Bronx,New York,10472.0,2585.0,2019-08-26
62387.0,for_sale,1875000.0,8.0,4.0,0.06,243542.0,Brooklyn,New York,11221.0,3500.0,2002-03-04
16505.0,for_sale,299000.0,1.0,2.0,0.3,7282.0,Verona,New Jersey,7044.0,1200.0,2003-05-27
52983.0,for_sale,447900.0,2.0,3.0,0.08,1417503.0,Wayne,New Jersey,7470.0,1742.0,2007-06-07
53641.0,for_sale,1295000.0,4.0,3.0,0.46,1556699.0,Glen Rock,New Jersey,7452.0,3500.0,2018-05-14
33714.0,for_sale,1799999.0,11.0,5.0,0.16,861986.0,Bronx,New York,10463.0,4091.0,1999-08-19
30914.0,for_sale,1490000.0,9.0,3.0,0.07,17819.0,College Point,New York,11356.0,3540.0,1990-07-20
22677.0,for_sale,799000.0,4.0,3.0,0.46,115870.0,Cresskill,New Jersey,7626.0,19110.0,2014-09-25
12579.0,for_sale,499000.0,4.0,3.0,0.05,1165579.0,Brooklyn,New York,11207.0,1700.0,2018-01-29
108517.0,for_sale,725000.0,2.0,2.0,0.03,17772.0,College Point,New York,11356.0,960.0,2013-01-24
62386.0,for_sale,1695000.0,6.0,5.0,0.06,1193509.0,New York City,New York,11368.0,2772.0,2017-04-19
45949.0,for_sale,739000.0,3.0,2.0,0.05,705866.0,Bronx,New York,10469.0,2018.0,2008-09-15
70055.0,for_sale,1450000.0,6.0,4.0,0.04,1122429.0,Long Island City,New York,11104.0,1920.0,2021-12-23
52983.0,for_sale,339900.0,2.0,1.0,0.12,117936.0,Totowa,New Jersey,7512.0,1400.0,1995-06-21
53411.0,for_sale,389000.0,1.0,1.0,0.27,1599556.0,New York,New York,10032.0,40720.0,2017-10-25
1455.0,for_sale,449900.0,4.0,2.0,0.06,1084535.0,Kearny,New Jersey,7032.0,1500.0,2012-07-26
106761.0,for_sale,625000.0,3.0,2.0,0.17,587072.0,Totowa,New Jersey,7512.0,1800.0,2007-05-10
53300.0,for_sale,850000.0,6.0,4.0,0.06,1540578.0,Bronx,New York,10466.0,3453.0,2018-07-09
91607.0,for_sale,950000.0,4.0,3.0,0.04,1383621.0,Maspeth,New York,11378.0,2400.0,1993-01-07
19756.0,for_sale,948000.0,6.0,3.0,0.04,1585141.0,Glendale,New York,11385.0,2400.0,2016-10-28
53512.0,for_sale,630000.0,1.0,1.0,0.32,733856.0,Long Island City,New York,11102.0,557.0,1998-01-07
